Cement_component1__kgInAM_3Mixture_,BlastFurnaceSlag_component2__kgInAM_3Mixture_,FlyAsh_component3__kgInAM_3Mixture_,Water_component4__kgInAM_3Mixture_,Superplasticizer_component5__kgInAM_3Mixture_,CoarseAggregate_component6__kgInAM_3Mixture_,FineAggregate_component7__kgInAM_3Mixture_,Age_day_,ConcreteCompressiveStrength_MPa_Megapascals_
153,145,0,178,8,1000,822,28,19.00885332
525,0,0,189,0,1125,613,14,48.4012152
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.59946448
540,0,0,173,0,1125,613,90,69.65776028
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.147687824
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112
157,214,152,200,9,819,704,28,33.05347944
332.5,142.5,0,228,0,932,594,90,37.721921436
375,0,0,186,0,1038,758,7,26.0621928
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287661424
385,0,0,186,0,966,763,3,14.69962832
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
150,237,0,174,12,1069,675,28,37.43165204
349,0,0,192,0,1047,806.9,3,15.049192652
393,0,0,192,0,940.6,785.6,3,19.199148696
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
252,0,0,185,0,1111,784,7,13.71367764
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
158.6,148.9,116,175.1,15,953.3,719.7,28,27.681082448
427.5,47.5,0,228,0,932,594,28,37.427515184
359,19,141,154,10.91,942,801,7,38.610656
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
275,180,120,162,10.35,830,765,28,76.23536132
203.5,305.3,0,203.5,0,963.4,630,28,41.684340008
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
446,24,79,162,11.64,967,712,7,38.01770664
155,183,0,193,9,877,868,28,23.786922
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
153,239,0,200,6,1002,684,28,26.8550902
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
252,0,0,186,0,1111,784,7,11.46598588
198.6,132.4,0,192,0,978.4,825.5,28,28.021683592
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
380,95,0,228,0,932,594,180,40.759063216
281,0,0,186,0,1104,774,7,14.49968028
298.2,0,107,209.7,11.1,879.6,744.2,28,31.875164956
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.959470848
359,19,141,154,10.91,942,801,28,62.93536928
315,137,0,145,5.9,1130,745,28,81.75116932
446,24,79,162,11.61,967,712,28,57.02655996
236,0,0,194,0,968,885,3,6.46728488
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
491,26,123,201,3.93,822,699,28,57.915984
148,175,0,171,2,1000,828,28,26.91714304
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421479776
284,120,0,168,7,970,794,28,40.93419012
236,0,0,193,0,968,885,365,25.08313688
500,0,0,200,0,1125,613,1,12.63809508
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.36152528
475,0,0,228,0,932,594,365,41.934619796
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
491,26,123,201,3.93,822,699,56,61.855846854188
313,161,0,178,10,917,759,28,52.44154456
136,196,98,199,6,847,783,28,26.96540636
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373
336,0,0,182,3,986,817,28,44.86420332
198.6,132.4,0,192,0,978.4,825.5,3,9.131420144
314,0,113,170,10,925,783,28,38.45897128
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
491,26,123,201,3.93,822,699,3,29.5489714305414
277,0,0,191,0,968,856,360,33.70158688
139.6,209.4,0,192,0,1047,806.9,180,44.207822168
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
183.9,122.6,0,203.5,0,959.2,800,3,4.903553312
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.89607912
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
261,100,78,201,9,864,761,28,32.39847724
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352
145,0,134,181,11,979,812,28,13.19657064
525,0,0,189,0,1125,613,270,67.11359384
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368
152.7,144.7,0,178.1,8,999.7,822.2,28,19.009542796
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
310,0,0,192,0,1012,830,120,38.70028788
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
349,0,0,192,0,1056,809,3,15.87173752
153,145,113,178,8,1002,689,28,25.55887532
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446370892
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.265488324
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
331,0,0,192,0,1025,821,28,31.74347504
254,0,0,198,0,968,863,90,26.94472208
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
302,0,0,203,0,974,817,180,26.74477404
322,149,0,186,8,951,709,28,52.42086028
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872
139.6,209.4,0,192,0,1047,806.9,90,39.358047984
439,177,0,186,11.1,884.9,707.9,28,65.99664272
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.726417988
239.6,359.4,0,185.7,0,941.6,664.3,28,39.435269296
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
305.3,203.5,0,203.5,0,965.4,631,28,43.377003588
173,116,0,192,0,946.8,856.8,90,32.102692036
162,214,164,202,10,820,680,28,30.6472082
333,0,0,192,0,931.2,842.6,90,41.680203152
339,0,0,197,0,968,781,14,27.04124872
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
382,0,0,185,0,1047,739,7,24.00065956
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
475,0,0,228,0,932,594,28,39.28978986
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
135,0,166,180,10,961,805,28,13.29309728
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
382,0,0,186,0,1047,739,28,37.42475728
321,0,128,182,11,870,780,28,37.25928304
325,0,0,184,0,1063,783,7,17.54026944
252,97,76,194,8,835,821,28,33.39821744
376,0,0,214.6,0,1003.5,762.36,14,25.62092816
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
342,38,0,228,0,932,670,90,50.45930106
375,0,0,186,0,1038,758,28,38.21075992
108.3,162.4,0,203.5,0,938.2,849,90,29.231713972
389.9,189,0,145.9,22,944.7,755.8,91,82.5992248
385,0,0,186,0,966,763,7,23.22155168
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.19984832
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.730314988
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.55653712
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.443632932
475,0,0,228,0,932,594,7,38.60376124
145.9,230.5,0,202.5,3.4,827,871.8,28,32.720462532
295,0,0,185,0,1069,769,28,25.17966352
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
339,0,0,197,0,968,781,90,35.17017076
337.9,189,0,174.9,9.5,944.7,755.8,28,49.89737812
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
158,0,195,220,11,898,713,28,8.53571288
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
387,20,94,157,13.93,938,845,7,45.89841732
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
333,0,0,192,0,931.2,842.6,28,31.966865264
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134492
162,190,148,179,19,838,741,28,33.75674496
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
325,0,0,184,0,1063,783,28,30.57136584
540,0,0,173,0,1125,613,28,67.30664712
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.3675208
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
393,0,0,192,0,940.6,785.6,7,27.742445812
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
284,15,141,179,5.46,842,801,7,24.13166
425,106.3,0,151.4,18.6,936,803.7,56,64.90037588
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
389.9,189,0,145.9,22,944.7,755.8,28,74.4978818
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
190,190,0,228,0,932,670,365,53.692254024
313,0,113,178,8,1002,689,28,36.80422888
273,0,90,199,11,931,762,28,32.23989776
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42357812
331,0,0,192,0,1025,821,3,14.306627
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.245413568
212,0,124.78,159,7.84,1085.4,799.54,14,31.35047372
336.5,0,0,181.9,3.4,985.8,816.8,28,44.868340176
522,0,0,146,0,896,896,28,74.98740976
380,0,0,228,0,932,670,365,52.516697444
424,22,132,168,8.92,822,750,7,40.2850977152707
427.5,47.5,0,228,0,932,594,90,41.542997428
202,11,141,206,1.72,942,801,56,23.245190854188
304,76,0,228,0,932,670,28,47.813781648
310,0,0,192,0,970,850,180,37.32823064
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.30183076
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116
277,117,91,191,7,946,666,28,43.5748832
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
310,143,0,168,10,914,804,28,45.2985732
155,184,143,194,9,880,699,28,28.98557104
166.8,250.2,0,203.5,0,975.6,692.6,90,43.565230536
139.6,209.4,0,192,0,1047,806.9,7,14.58931216
237.5,237.5,0,228,0,932,594,365,38.995383608
220.8,147.2,0,185.7,0,1055,744.3,7,13.089012384
387,20,94,157,11.61,938,845,56,61.45989064
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.4994406
218.85,0,124.13,158.49,11.33,1078.7,794.91,100,46.2293658
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.507014688
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
159,149,116,175,15,953,720,28,27.67556664
164.2,0,200.1,181.2,12.6,849.3,846,28,15.091250688
146,230,0,202,3,827,872,28,33.0603742
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
531.3,0,0,141.8,28.2,852.1,893.7,7,46.89815752
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826961644
285,190,0,163,7.6,1031,685,28,53.57917996
102,153,0,192,0,887,942,7,7.675936308
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.04164848
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.957582268
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.870858224
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10006412
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,49.99390476
331,0,0,192,0,978,825,180,38.99676256
382,0,0,185,0,1047,739,28,37.42475728
116,173,0,192,0,909.8,891.9,90,31.023662096
330.5,169.6,0,194.9,8.1,811,802.3,28,56.619079644
480,0,0,192,0,936,721,90,54.27555072
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,26.04840328
295,0,0,185,0,1069,769,7,14.79615496
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.90127512
350,0,0,186,0,1050,770,28,34.29453624
277,0,0,191,0,968,856,14,21.26343984
359,19,141,154,10.91,942,801,28,59.49488404
350,0,0,203,0,974,775,28,27.3377234
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.29609504
331,0,0,192,0,978,825,28,31.44700036
446,24,79,162,11.61,967,712,3,35.36322404
186.2,124.1,0,185.7,0,1083.4,764.3,7,7.995853172
173,116,0,192,0,946.8,856.8,28,24.281965768
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
102,153,0,192,0,887,942,90,25.460969728
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.83544512
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,29.7508894
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43165204
314,145.3,113.2,178.9,8,869.1,690.2,28,46.234192132
350,0,0,203,0,974,775,7,18.12632404
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.991086848
250.2,166.8,0,203.5,0,977.6,694.1,28,36.964187312
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.07676172
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.419591196
133,200,0,192,0,927.4,839.2,28,27.874825204
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.5484632
212,141.3,0,203.5,0,973.4,750,3,6.8085755
525,0,0,189,0,1125,613,180,61.92183956
485,0,0,146,0,1120,800,28,71.98818916
540,0,0,173,0,1125,613,180,71.62276688
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
288,192,0,192,0,932,717.8,3,16.10960674
295.71,0,95.64,171.54,8.87,955.14,859.2,14,35.2322236
277,0,0,191,0,968,856,90,31.25394708
366,187,0,191,7,824,757,28,65.90701084
425,106.3,0,151.4,18.6,936,803.7,91,66.69990824
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528
350,0,0,203,0,974,775,90,31.35047372
266,112,87,178,10,910,745,28,39.41734292
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35014394
165,0.02,143.57,163.81,0,1005.6,900.9,3,14.39625888
122.6,183.9,0,203.5,0,958.2,800.1,7,10.354550568
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
237,92,71,247,6,853,695,28,28.62704352
387,20,94,157,13.93,938,845,3,25.510612
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.768036376
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.859916532
349,0,0,192,0,1047,806,180,41.05140104
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
233.81,0,94.58,197.89,4.567,947.04,852.16,14,22.13907436
375,93.8,0,126.6,23.4,852.1,992.6,7,45.69846928
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.236210524
528,0,0,185,6.86,920,720,28,56.83350668
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
149,153,194,192,8,935,623,28,24.5798194
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.691094808
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.09966436
102,153,0,192,0,887,942,28,17.275510656
290.35,0,96.18,168.08,9.41,961.18,865,14,34.67374804
212,141.3,0,203.5,0,973.4,750,90,39.70002808
307,0,0,193,0,968,812,90,32.922479
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80073164
280,129,100,172,9,825,805,28,52.82075636
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564
310,0,0,192,0,970,850,28,27.923778
387,20,94,157,14.32,938,845,3,22.752708
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
310,0,0,192,0,1012,830,90,35.76312012
148,0,182,181,15,839,884,28,15.52010476
322,0,116,196,10,818,813,28,31.17810472
141.3,212,0,203.5,0,971.8,748.5,7,10.3938507
313.3,145,0,178.5,8,867.2,824,28,40.925226932
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.726068264
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856
210.7,316.1,0,185.7,0,977,689.3,7,21.819846972
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.314271244
255,0,0,192,0,889.8,945,3,8.204074924
160,188,146,203,11,829,710,28,32.83974188
313.3,145,0,178.5,8,1001.9,688.7,28,41.053469468
160,250,0,168,12,1049,688,28,39.45181672
342,38,0,228,0,932,670,365,56.141962252
475,0,59,142,1.9,1098,641,28,57.226508
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.8472962
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.79825348
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.81242264
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936
153,102,0,192,0,888,943.1,90,26.322814728
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.71882378
322,0,0,203,0,974,800,28,25.17966352
310,0,0,192,0,1012,830,28,27.82725136
151,0,185,167,16,1074,678,28,13.45857152
439,177,0,186,11.1,884.9,707.9,3,39.300132
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06200298
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504
298,0,107,210,11,880,744,28,31.87447548
349,0,0,192,0,1047,806,7,18.12632404
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028
153,102,0,192,0,888,943.1,7,8.374375496
310,0,0,192,0,970,850,7,14.98920824
122.6,183.9,0,203.5,0,958.2,800.1,3,3.31982694
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
289,0,0,192,0,913.2,895.3,90,32.068218236
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.542307952
148,0,137,158,16,1002,830,28,17.95395504
387,20,94,157,14.32,938,845,28,50.23522136
200,0,0,180,0,1125,845,28,12.24509376
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322048
332.5,142.5,0,228,0,932,594,7,30.275580636
393,0,0,192,0,940.6,785.6,28,39.604880392
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
475,0,0,162,9.5,1044,662,28,58.52272288
480,0,0,192,0,936.2,712.2,3,24.404692496
254,0,0,198,0,968,863,180,27.62730332
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
304,76,0,228,0,932,670,180,50.94882902
480,0,0,192,0,936.2,712.2,28,43.942373908
200,133,0,192,0,965.4,806.2,28,30.439675924
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
122.6,183.9,0,203.5,0,958.2,800.1,28,24.290928956
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
500,0,0,200,0,1125,613,14,36.93522932
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
198.6,132.4,0,192,0,978.4,825.5,90,38.074243672
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
446,24,79,162,11.61,967,712,7,52.00717468
359,19,141,154,10.91,942,801,7,35.7542554305414
236,0,0,193,0,968,885,180,24.10408096
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224
350,0,0,203,0,974,775,180,32.72253096
540,0,0,173,0,1125,613,270,74.16693332
144,136,106,178,7,941,774,28,26.14492992
349,0,0,192,0,1056,809,90,40.65839972
397,0,0,185.7,0,1040.6,734.3,28,33.082437432
162,207,172,216,10,822,638,28,39.84481804
260,101,78,171,10,936,763,28,49.77327244
252.5,0,0,185.7,0,1111.6,784.3,7,11.483912256
469,117.2,0,137.8,32.2,852.1,840.5,3,40.1964508
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
339.2,0,0,185.7,0,1069.2,754.3,28,31.899986092
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.835874796
427.5,47.5,0,228,0,932,594,365,43.698299404
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
142,167,130,174,11,883,785,28,44.6090972
325.6,166.4,0,174,8.9,881.6,790,28,61.23581094
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
387,20,94,157,14.32,938,845,7,36.83870268
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2003478
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856
451,0,0,165,11.25,1030,745,28,78.80021204
288,121,0,177,7,908,829,28,42.13387836
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.629981272
331,0,0,192,0,978,825,3,13.52062436
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
