Cement_component1__kgInAM_3Mixture_,BlastFurnaceSlag_component2__kgInAM_3Mixture_,FlyAsh_component3__kgInAM_3Mixture_,Water_component4__kgInAM_3Mixture_,Superplasticizer_component5__kgInAM_3Mixture_,CoarseAggregate_component6__kgInAM_3Mixture_,FineAggregate_component7__kgInAM_3Mixture_,Age_day_,ConcreteCompressiveStrength_MPa_Megapascals_
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
296,0,0,186,0,1090,769,7,18.91232668
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
183.9,122.6,0,203.5,0,959.2,800,7,10.787541496
307,0,0,193,0,968,812,3,12.54156844
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922
381.4,0,0,185.7,0,1104.6,784.3,7,14.54104884
144,15,195,176,6,1021,709,28,15.340841
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
333,17.5,163,167,17.9,996,652,28,47.27736932
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
385,0,0,186,0,966,763,14,27.923778
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19814956
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
272.8,105.1,81.8,209.7,9,904,679.7,28,37.171030112
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.051670812
288,192,0,192,0,932,717.8,7,23.523542168
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
295.8,0,0,185.7,0,1091.4,769.3,7,14.843728804
296,0,0,186,0,1090,769,28,25.17966352
321.3,164.2,0,190.5,4.6,870,774,28,57.218234288
153.1,145,113,178.5,8,1001.9,688.7,28,25.559564796
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.93978588
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.04436632
183.9,122.6,0,203.5,0,959.2,800,90,32.53292506
469,117.2,0,137.8,32.2,852.1,840.5,56,69.29923276
389.9,189,0,145.9,22,944.7,755.8,7,59.09498796
238.1,0,0,185.7,0,1118.8,789.3,28,17.576122192
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
108.3,162.4,0,203.5,0,938.2,849,28,20.593958644
210.7,316.1,0,185.7,0,977,689.3,28,37.813621744
275,0,0,183,0,1088,808,7,14.2032056
255,0,0,192,0,889.8,945,90,21.859147104
380,0,0,228,0,932,670,270,53.300631656
480,0,0,192,0,936,721,28,43.89204216
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617500724
326.5,0,137.9,199,10.8,801.1,792.5,28,38.630650804
304,76,0,228,0,932,670,365,55.260122448
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
380,0,0,228,0,932,670,90,52.908319812
284,15,141,179,5.46,842,801,56,44.5204502847293
297,0,0,186,0,1040,734,7,30.9574724
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.696600644
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
331,0,0,192,0,1025,821,120,39.38286912
255,99,77,189,6,919,749,28,33.79811352
116,173,0,192,0,909.8,891.9,3,6.280436884
289,134,0,195,6,924,760,28,46.24315532
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.056057496
236,0,0,194,0,968,885,90,21.94602108
318,0,126,210,6,861,737,28,40.0585556
376,0,0,214.6,0,1003.5,762.36,56,36.3009114
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.922658848
151.6,0,111.9,184.4,7.9,992,815.9,28,12.180972492
156,178,187,221,7,854,614,28,29.41304616
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
173,116,0,192,0,946.8,856.8,3,6.940954892
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
252,0,0,185,0,1111,784,28,19.69143456
154,144,112,220,10,923,658,28,16.49916068
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
350,0,0,203,0,974,775,56,29.97841648
203.5,305.3,0,203.5,0,963.4,630,90,51.863763672
157,236,0,192,0,935.4,781.2,28,33.664355176
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.40055564
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276
316.1,210.7,0,185.7,0,977,689.3,7,24.437787344
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.744174488
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
302,0,0,203,0,974,817,28,21.7529678
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
152,178,139,168,18,944,695,28,36.34917472
276,116,90,180,9,870,768,28,44.27814872
439,177,0,186,11.1,884.9,707.9,91,73.29819356
148.1,0,182.1,181.4,15,838.9,884.3,28,15.526310044
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.09810556
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
133,200,0,192,0,927.4,839.2,3,6.883728384
359,19,141,154,10.91,942,801,56,66.7806754305414
296,0,0,192,0,1085,765,90,29.39236188
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.401235144
424,22,132,168,8.92,822,750,56,74.3649114581204
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.52010476
480,0,0,192,0,936,721,3,24.39366088
500,0,0,200,0,1125,613,180,51.04190828
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964
296,0,106.7,221.4,10.5,819.2,778.4,28,31.420110796
262,111,86,195,5,895,733,28,33.7153764
234,156,0,189,5.85,981,760,28,39.300132
339,0,0,185,0,1069,754,28,31.84000168
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.9561734
296,0,107,221,11,819,778,28,31.41942132
102,153,0,192,0,887,942,3,4.565020596
355,19,97,145,12.25,967,871,28,55.45455468
356,119,0,160,9.03,1061,657,28,58.99846132
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.40003604
310,0,0,192,0,970,850,90,34.6806428
397,0,0,186,0,1040,734,28,36.93522932
202,11,141,206,1.72,942,801,3,9.84965714581204
491,26,123,210,3.93,882,699,56,59.5904257152707
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284354004
252.5,0,0,185.7,0,1111.6,784.3,28,19.765208492
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
198.6,132.4,0,192,0,978.4,825.5,7,14.638264956
307,0,0,193,0,968,812,180,34.48758952
145.4,0,178.9,201.7,7.8,824,868.7,28,10.535882756
305.3,203.5,0,203.5,0,965.4,631,7,25.893960656
446,24,79,162,11.64,967,712,56,56.14403068
203.5,305.3,0,203.5,0,963.4,630,7,19.539060364
531.3,0,0,141.8,28.2,852.1,893.7,91,59.19840936
374,189.2,0,170.1,10.1,926.1,756.7,3,34.39795764
393,0,0,192,0,940.6,785.6,90,48.846616696
212,141.3,0,203.5,0,973.4,750,28,33.003837168
194.68,0,100.52,165.62,7.48,1006.4,905.9,14,24.98661024
228,342.1,0,185.7,0,955.8,674.3,28,39.699338604
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
491,26,123,201,3.93,822,699,7,37.92118
237.5,237.5,0,228,0,932,594,90,33.116911232
288,192,0,192,0,932,717.8,90,50.526869708
139.6,209.4,0,192,0,1047,806.9,360,44.698039604
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,21.91154728
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
157,236,0,192,0,935.4,781.2,90,43.377003588
425,106.3,0,151.4,18.6,936,803.7,7,46.80163088
198.6,132.4,0,192,0,978.4,825.5,180,41.719503284
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436
239.6,359.4,0,185.7,0,941.6,664.3,7,25.422359072
165,0,150,182,12,1023,729,28,18.0297974
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
307,0,0,193,0,968,812,365,36.14922668
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.9496784
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.524231644
475,0,0,228,0,932,594,180,42.620648416
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
147,115,89,202,9,860,829,28,19.98790924
375,93.8,0,126.6,23.4,852.1,992.6,3,28.99936056
427.5,47.5,0,228,0,932,594,270,43.01296026
397,17.2,158,167,20.8,967,633,28,55.64760796
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884
236,157,0,192,0,972.6,749.1,7,20.416073836
540,0,0,162,2.5,1055,676,28,61.88736576
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.07664188
287,121,94,188,9,904,696,28,41.94082508
332.5,142.5,0,228,0,932,594,270,40.269535256
337.9,189,0,174.9,9.5,944.7,755.8,7,35.10122316
166.8,250.2,0,203.5,0,975.6,692.6,28,33.947729812
522,0,0,146,0,896,896,7,50.51101176
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
166.8,250.2,0,203.5,0,975.6,692.6,3,6.902344236
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
155,183,0,193,9,1047,697,28,18.28490352
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
540,0,0,162,2.5,1040,676,28,79.98611076
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.49592324
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
491,26,123,210,3.93,882,699,3,25.6091085694586
281,0,0,185,0,1104,774,28,22.43554904
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.35684888
332.5,142.5,0,228,0,932,594,180,39.77931782
166.8,250.2,0,203.5,0,975.6,692.6,7,15.748321316
116,173,0,192,0,909.8,891.9,7,10.089791784
159,187,0,176,11,990,789,28,32.76389952
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.569747032
349,0,0,192,0,1056,809,7,9.01145132
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452
255,0,0,192,0,889.8,945,7,10.222171176
387,20,94,157,11.61,938,845,28,46.68441996
305,0,100,196,10,959,705,28,30.12320644
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
281,0,0,186,0,1104,774,28,22.43554904
236,157,0,192,0,972.6,749.1,90,47.782065752
393,0,0,192,0,940,758,28,39.58281716
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.937997196
277,0,0,191,0,968,856,28,25.96566616
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
304,76,0,228,0,932,670,90,49.185149412
192,288,0,192,0,929.8,716.1,3,12.788400848
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
397,0,0,185,0,1040,734,28,39.0932892
273,105,82,210,9,904,680,28,37.16965116
531.3,0,0,141.8,28.2,852.1,893.7,3,41.2996124
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37264682
491,26,123,210,3.93,882,699,28,55.55108132
238,0,0,186,0,1119,789,28,17.54026944
222.36,0,96.67,189.29,4.46,967.08,870.32,14,24.44881896
525,0,0,189,0,1125,613,7,42.42345828
331,0,0,192,0,978,825,7,16.26473884
149,118,92,183,7,953,780,28,23.51802636
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156
424,22,132,178,8.48,882,750,3,32.0113857152707
405,0,0,175,0,1120,695,28,52.30364936
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20022796
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.461039708
446,24,79,162,10.3,967,712,28,53.38612668
277,0,0,191,0,968,856,3,11.36256448
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.83674412
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308
316.1,210.7,0,185.7,0,977,689.3,28,38.70028788
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.87837248
380,95,0,228,0,932,594,28,36.447769788
300,0,120,212,10,878,728,28,23.83518532
166,260,0,183,13,859,827,28,37.91428524
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
184,86,190,213,6,923,623,28,22.93197176
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34253976
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.611855104
376,0,0,214.6,0,1003.5,762.36,100,43.0577762
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.765208492
255,0,0,192,0,889.8,945,28,18.746162964
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882
141.3,212,0,203.5,0,971.8,748.5,28,29.89223198
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256
153,102,0,192,0,888,943.1,3,4.782205536
237.5,237.5,0,228,0,932,594,28,30.079769452
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504
339,0,0,185,0,1069,754,7,21.16001844
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.033934256
424,22,132,178,8.48,822,750,56,65.697213145812
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
339,0,0,197,0,968,781,365,38.89334116
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731264264
393,0,0,192,0,940,758,90,48.79421652
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99482412
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
310,0,0,192,0,1012,830,7,17.24379476
151,0,184,167,12,991,772,28,15.56836808
140,164,128,237,6,869,656,28,35.22532884
332.5,142.5,0,228,0,932,594,28,33.01900564
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
333,0,0,192,0,931.2,842.6,3,15.615941924
108.3,162.4,0,203.5,0,938.2,849,7,7.723510152
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.306517132
491,26,123,210,3.93,882,699,7,33.4888342847293
238,0,0,185,0,1118,789,28,17.54026944
134.7,0,165.7,180.2,10,961,804.9,28,13.293786756
298,137,107,201,6,878,655,28,53.52402188
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
439,177,0,186,11.1,884.9,707.9,56,71.69860924
139.6,209.4,0,192,0,1047,806.9,28,28.23748958
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588
531.3,0,0,141.8,28.2,852.1,893.7,56,58.79851328
290.35,0,96.18,168.08,9.41,961.18,865,28,34.73580088
376,0,0,214.6,0,1003.5,762.36,28,31.97100212
200,133,0,192,0,965.4,806.2,90,43.25082948
424,22,132,178,8.48,822,750,7,39.0046422847293
236,0,0,193,0,968,885,7,9.99050724
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.29101888
387,20,94,157,14.32,938,845,56,56.33708396
254,0,0,198,0,968,863,365,29.7853632
339,0,0,197,0,968,781,28,32.03994972
277,0,0,191,0,968,856,180,32.32952964
145,0,179,202,8,824,869,28,10.53519328
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.2309246
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
133,200,0,192,0,927.4,839.2,7,13.664035368
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
143,169,143,191,8,967,643,28,29.72331036
300,0,0,184,0,1075,795,7,15.57526284
157,236,0,192,0,935.4,781.2,3,9.694722036
446,24,79,162,11.64,967,712,28,51.021224
342,38,0,228,0,932,670,270,55.064311264
516,0,0,162,8.2,801,802,28,41.36856
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.63355864
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
359,19,141,154,10.91,942,801,3,25.1166257152707
374,189.2,0,170.1,10.1,926.1,756.7,7,46.20178676
382.5,0,0,185.7,0,1047.8,739.3,7,24.065470304
296,0,0,192,0,1085,765,28,21.6495464
220.8,147.2,0,185.7,0,1055,744.3,28,25.74503384
374,189.2,0,170.1,10.1,926.1,756.7,56,63.3973182
237.5,237.5,0,228,0,932,594,270,38.407950056
266,114,0,228,0,932,670,270,51.732763232
159,209,161,201,7,848,669,28,30.88163004
362.6,189,0,164.9,11.6,944.7,755.8,7,22.89749796
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
167,187,195,185,7,898,636,28,23.8903434
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
300,0,0,184,0,1075,795,28,26.84819544
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.066249704
249.1,0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
525,0,0,189,0,1125,613,90,58.78472376
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.215586252
331,0,0,192,0,978,825,90,37.231704
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
310,0,0,192,0,971,850.6,3,9.86640156
339,0,0,185,0,1060,754,28,31.6469484
275,0,0,183,0,1088,808,28,24.49708228
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.363393916
133,200,0,192,0,927.4,839.2,90,36.588422892
356,0,142,193,11,801,778,28,40.86524252
424,22,132,168,8.92,822,750,28,72.09850532
289,0,0,192,0,913.2,895.3,3,11.654902304
212,141.3,0,203.5,0,973.4,750,7,15.0305768
284,15,141,179,5.46,842,801,28,43.73346268
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
366,187,0,191.3,6.6,824.3,756.9,28,65.909079268
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19451236
339,0,0,197,0,968,781,180,36.44570136
332.5,142.5,0,228,0,932,594,365,41.052779992
190,190,0,228,0,932,670,270,50.655112244
302,0,0,203,0,974,817,14,18.12632404
290.2,193.5,0,185.7,0,998.2,704.3,7,21.859147104
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
192,288,0,192,0,929.8,716.1,7,21.48062478
236,157,0,192,0,972.6,749.1,28,32.88455782
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984
339,0,0,197,0,968,781,3,13.22414968
446,24,79,162,11.64,967,712,56,55.25460664
192,288,0,192,0,929.8,716.1,90,50.732333556
238,0,0,186,0,1119,789,7,12.05204048
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.455953576
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
446,24,79,162,11.64,967,712,3,25.02108404
380,0,0,228,0,932,670,180,53.104130996
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
190.34,0,125.18,166.61,9.88,1079,798.9,100,33.56369168
313,145,0,178,8,1002,689,28,41.05140104
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
475,118.8,0,181.1,8.9,852.1,781.5,7,55.59934464
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.202086448
331,0,0,192,0,1025,821,7,17.43684804
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
446,24,79,162,11.64,967,712,3,23.34565736
397,0,0,185.7,0,1040.6,734.3,7,25.447869684
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.39821744
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.79577532
289,0,0,192,0,913.2,895.3,28,25.573354316
133,210,0,196,3,949,795,28,31.02642
122.6,183.9,0,203.5,0,958.2,800.1,90,33.192064116
331,170,0,195,8,811,802,28,56.61287436
190,190,0,228,0,932,670,90,42.32693164
500,0,0,140,4,966,853,28,67.568648
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
380,95,0,228,0,932,594,270,41.15137506
475,0,0,228,0,932,594,90,42.229026048
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.79941252
298,0,107,164,13,953,784,28,35.85964676
200,133,0,192,0,965.4,806.2,3,11.41427518
374,0,0,190,7,1013,730,28,39.05192064
250,0,0,182,0,1100,820,7,12.73462172
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
349,0,0,192,0,1047,806,28,32.72253096
480,0,0,192,0,936.2,712.2,90,54.315540328
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
155,0,143,193,9,1047,697,28,12.45883132
190,190,0,228,0,932,670,180,46.931941844
475,0,0,228,0,932,594,270,42.131120456
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
350,0,0,203,0,974,775,14,22.53207568
212,0,124.78,159,7.84,1085.4,799.54,100,47.8151606
446,24,79,162,11.64,967,712,28,44.42293868
236,157,0,192,0,972.6,749.1,3,13.5654403
382,0,0,186,0,1111,784,7,11.46598588
439,177,0,186,11.1,884.9,707.9,7,56.09576736
152,0,112,184,8,992,816,28,12.17614616
202,11,141,206,1.72,942,801,7,15.0699754305414
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
400,0,0,187,0,1025,745,28,43.69898888
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
266,114,0,228,0,932,670,365,52.908319812
200,133,0,192,0,965.4,806.2,7,17.165883972
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
310,0,0,192,0,1012,830,3,11.85209244
307,0,0,193,0,968,812,28,27.53077668
427.5,47.5,0,228,0,932,594,180,41.836714204
446,24,79,162,11.61,967,712,56,61.06688932
252,0,0,185,0,1111,784,28,19.69143456
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
194.68,0,100.52,170.17,7.48,998,901.8,3,12.17614616
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
469,117.2,0,137.8,32.2,852.1,840.5,7,54.89607912
305.3,203.5,0,203.5,0,965.4,631,3,14.143910664
540,0,0,173,0,1125,613,3,41.63745564
349,0,0,192,0,1056,809,120,40.85834776
